"MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","SalePrice"
20,"RL",0,12968,"Reg","Inside","NAmes","1Story",5,6,1962,1962,"Hip","HdBoard","Plywood","None",0,"TA","CBlock","TA","No","ALQ",737,0,175,912,"TA",912,0,0,912,1,0,1,0,2,1,"TA",4,0,"Detchd",1962,"Unf",1,352,140,0,0,0,176,0,0,9,2008,144000
20,"RL",91,10652,"IR1","Inside","CollgCr","1Story",7,5,2006,2007,"Gable","VinylSd","VinylSd","Stone",306,"Gd","PConc","Gd","Av","Unf",0,0,1494,1494,"Ex",1494,0,0,1494,0,0,2,0,3,1,"Gd",7,1,"Attchd",2006,"RFn",3,840,160,33,0,0,0,0,0,8,2007,279500
20,"RL",0,10920,"IR1","Corner","NAmes","1Story",6,5,1960,1960,"Hip","MetalSd","MetalSd","BrkFace",212,"TA","CBlock","TA","No","BLQ",733,0,520,1253,"TA",1253,0,0,1253,1,0,1,1,2,1,"TA",5,1,"Attchd",1960,"RFn",1,352,0,213,176,0,0,0,0,5,2008,157000
45,"RM",51,6120,"Reg","Corner","NAmes","1Story",7,8,1929,2001,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","BrkTil","TA","No","Unf",0,0,832,832,"Ex",854,0,0,854,0,0,1,0,2,1,"TA",5,0,"Detchd",1991,"Unf",2,576,48,112,0,0,0,0,0,7,2007,132000
20,"RL",0,11241,"IR1","Inside","NAmes","1Story",6,7,1970,1970,"Gable","Wd Sdng","Wd Sdng","BrkFace",180,"TA","CBlock","TA","No","ALQ",578,0,426,1004,"Ex",1004,0,0,1004,1,0,1,0,2,1,"TA",5,1,"Attchd",1970,"Fin",2,480,0,0,0,0,0,0,700,3,2010,149000
90,"RL",72,10791,"Reg","Inside","NAmes","1Story",4,5,1967,1967,"Gable","MetalSd","MetalSd","None",0,"TA","PConc","TA","No","Unf",0,0,0,0,"TA",1296,0,0,1296,0,0,2,0,2,2,"TA",6,0,"Attchd",1967,"Unf",2,516,0,0,0,0,0,0,500,10,2006,90000
20,"RL",66,13695,"Reg","Inside","NAmes","1Story",5,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"TA","PConc","TA","No","GLQ",646,0,468,1114,"Ex",1114,0,0,1114,1,0,1,1,3,1,"Gd",6,0,"Detchd",2004,"Unf",2,576,0,102,0,0,0,0,0,6,2008,159000
20,"RL",70,7560,"Reg","Inside","NAmes","1Story",5,6,1958,1965,"Hip","VinylSd","Plywood","None",0,"TA","CBlock","TA","No","Unf",504,0,525,1029,"TA",1339,0,0,1339,0,0,1,0,3,1,"TA",6,0,"Attchd",1958,"Unf",1,294,0,0,0,0,0,0,0,5,2009,139000
60,"RL",101,14215,"IR1","Corner","NAmes","2Story",8,5,2005,2006,"Gable","VinylSd","VinylSd","BrkFace",380,"Gd","PConc","Ex","Av","Unf",0,0,1158,1158,"Ex",1158,1218,0,2376,0,0,3,1,4,1,"Gd",9,1,"Attchd",2005,"RFn",3,853,240,154,0,0,0,0,0,11,2006,325300
45,"RM",57,7449,"Reg","Inside","NAmes","1Story",7,7,1930,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","PConc","TA","No","Unf",0,0,637,637,"Ex",1108,0,0,1108,0,0,1,0,3,1,"Gd",6,1,"Attchd",1930,"Unf",1,280,0,0,205,0,0,0,0,6,2007,139400
20,"RL",75,9742,"Reg","Inside","CollgCr","1Story",8,5,2002,2002,"Hip","VinylSd","VinylSd","BrkFace",281,"Gd","PConc","Gd","No","Unf",0,0,1777,1777,"Ex",1795,0,0,1795,0,0,2,0,3,1,"Gd",7,1,"Attchd",2002,"RFn",2,534,171,159,0,0,0,0,0,9,2008,230000
120,"RM",44,4224,"Reg","Inside","NAmes","1Story",5,7,1976,1976,"Gable","VinylSd","VinylSd","None",0,"TA","PConc","Gd","No","GLQ",840,0,200,1040,"TA",1060,0,0,1060,1,0,1,0,3,1,"TA",6,1,"Attchd",1976,"Unf",2,572,100,110,0,0,0,0,0,6,2007,129900
20,"RL",0,8246,"IR1","Inside","NAmes","1Story",5,8,1968,2001,"Gable","Plywood","Plywood","None",0,"TA","CBlock","TA","Mn","Rec",188,668,204,1060,"Ex",1060,0,0,1060,1,0,1,0,3,1,"Gd",6,1,"Attchd",1968,"Unf",1,270,406,90,0,0,0,0,0,5,2010,154000
20,"RL",110,14230,"Reg","Corner","NAmes","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","Stone",640,"Gd","PConc","Gd","No","Unf",0,0,1566,1566,"Ex",1600,0,0,1600,0,0,2,0,3,1,"Gd",7,1,"Attchd",2007,"RFn",3,890,0,56,0,0,0,0,0,7,2009,256300
20,"RL",60,7200,"Reg","Corner","NAmes","1Story",5,7,1951,2000,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","CBlock","TA","Mn","BLQ",234,486,180,900,"TA",900,0,0,900,0,1,1,0,3,1,"Gd",5,0,"Detchd",2005,"Unf",2,576,222,32,0,0,0,0,0,5,2010,134800
20,"RL",98,11478,"Reg","Inside","NAmes","1Story",8,5,2007,2008,"Gable","VinylSd","VinylSd","Stone",200,"Gd","PConc","Ex","No","GLQ",1218,0,486,1704,"Ex",1704,0,0,1704,1,0,2,0,3,1,"Gd",7,1,"Attchd",2008,"RFn",3,772,0,50,0,0,0,0,0,5,2010,306000
20,"RL",47,16321,"IR1","Inside","NAmes","1Story",5,6,1957,1997,"Gable","MetalSd","MetalSd","None",0,"TA","CBlock","TA","Gd","BLQ",1277,0,207,1484,"TA",1600,0,0,1600,1,0,1,0,2,1,"TA",6,2,"Attchd",1957,"RFn",1,319,288,258,0,0,0,0,0,12,2006,207500
30,"RM",60,6324,"IR1","Inside","NAmes","1Story",4,6,1927,1950,"Gable","MetalSd","MetalSd","None",0,"TA","BrkTil","TA","No","Unf",0,0,520,520,"Ex",520,0,0,520,0,0,1,0,1,1,"TA",4,0,"Detchd",1920,"Unf",1,240,49,0,87,0,0,0,0,5,2008,68500
70,"RL",50,8500,"Reg","Inside","NAmes","2Story",4,4,1920,1950,"Gable","VinylSd","VinylSd","None",0,"TA","BrkTil","TA","No","Unf",0,0,649,649,"TA",649,668,0,1317,0,0,1,0,3,1,"TA",6,0,"Detchd",1920,"Unf",1,250,0,54,172,0,0,0,0,7,2008,40000
20,"RL",0,8544,"IR1","Inside","NAmes","1Story",5,6,1966,2006,"Gable","HdBoard","HdBoard","None",0,"TA","CBlock","TA","No","Unf",0,0,1228,1228,"Gd",1228,0,0,1228,0,0,1,1,3,1,"Gd",6,0,"Attchd",1966,"Unf",1,271,0,65,0,0,0,0,0,6,2008,149350
20,"RL",85,11049,"Reg","Corner","CollgCr","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Ex","Av","Unf",0,0,1234,1234,"Ex",1234,0,0,1234,0,0,2,0,3,1,"Gd",7,0,"Attchd",2007,"RFn",2,484,0,30,0,0,0,0,0,1,2008,179900
20,"RL",70,10552,"IR1","Inside","NAmes","1Story",5,5,1959,1959,"Hip","VinylSd","VinylSd","None",0,"TA","CBlock","TA","No","Rec",1018,0,380,1398,"Gd",1700,0,0,1700,0,1,1,1,4,1,"Gd",6,1,"Attchd",1959,"RFn",2,447,0,38,0,0,0,0,0,4,2010,165500
120,"RL",60,7313,"Reg","Inside","NAmes","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",246,"TA","PConc","Ex","No","GLQ",1153,0,408,1561,"Ex",1561,0,0,1561,1,0,2,0,2,1,"TA",6,1,"Attchd",2005,"Fin",2,556,203,47,0,0,0,0,0,8,2007,277500
60,"RL",108,13418,"Reg","Inside","NAmes","2Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",132,"Gd","PConc","Ex","Av","Unf",0,0,1117,1117,"Ex",1132,1320,0,2452,0,0,3,1,4,1,"Gd",9,1,"Attchd",2004,"Fin",3,691,113,32,0,0,0,0,0,9,2006,309000
20,"RL",112,10859,"Reg","Corner","CollgCr","1Story",5,5,1994,1995,"Gable","VinylSd","VinylSd","None",0,"TA","PConc","Gd","No","Unf",0,0,1097,1097,"Ex",1097,0,0,1097,0,0,1,1,3,1,"TA",6,0,"Attchd",1995,"Unf",2,672,392,64,0,0,0,0,0,6,2009,145000
20,"RL",74,8532,"Reg","Inside","NAmes","1Story",5,6,1954,1990,"Hip","Wd Sdng","Wd Sdng","BrkFace",650,"TA","CBlock","TA","No","Rec",1213,0,84,1297,"Gd",1297,0,0,1297,0,1,1,0,3,1,"TA",5,1,"Attchd",1954,"Fin",2,498,0,0,0,0,0,0,0,10,2009,153000
20,"RL",68,7922,"Reg","Inside","NAmes","1Story",5,7,1953,2007,"Gable","VinylSd","VinylSd","None",0,"TA","CBlock","TA","No","GLQ",731,0,326,1057,"TA",1057,0,0,1057,1,0,1,0,3,1,"Gd",5,0,"Detchd",1953,"Unf",1,246,0,52,0,0,0,0,0,1,2010,109000
90,"RL",65,6040,"Reg","Inside","NAmes","1Story",4,5,1955,1955,"Gable","VinylSd","Plywood","None",0,"TA","PConc","TA","No","Unf",0,0,0,0,"TA",1152,0,0,1152,0,0,2,0,2,2,"TA",6,0,"Attchd",0,"Unf",0,0,0,0,0,0,0,0,0,6,2008,82000
20,"RL",84,8658,"Reg","Inside","NAmes","1Story",6,5,1965,1965,"Gable","Wd Sdng","Wd Sdng","BrkFace",101,"TA","CBlock","TA","No","Rec",643,0,445,1088,"Ex",1324,0,0,1324,0,0,2,0,3,1,"TA",6,1,"Attchd",1965,"RFn",2,440,0,138,0,0,0,0,0,12,2006,160000
20,"RL",115,16905,"Reg","Inside","NAmes","1Story",5,6,1959,1959,"Gable","VinylSd","VinylSd","None",0,"TA","CBlock","TA","Gd","BLQ",967,0,383,1350,"Gd",1328,0,0,1328,0,1,1,1,2,1,"TA",5,2,"Attchd",1959,"RFn",1,308,0,104,0,0,0,0,0,7,2007,170000
85,"RL",0,9180,"IR1","Inside","NAmes","1Story",5,7,1983,1983,"Gable","HdBoard","HdBoard","None",0,"TA","CBlock","Gd","Av","ALQ",747,93,0,840,"Gd",884,0,0,884,1,0,1,0,2,1,"Gd",5,0,"Attchd",1983,"RFn",2,504,240,0,0,0,0,0,0,12,2007,144000
20,"RL",0,9200,"IR1","Inside","CollgCr","1Story",5,6,1975,1980,"Hip","VinylSd","VinylSd","None",0,"TA","CBlock","Gd","Av","Unf",280,491,167,938,"TA",938,0,0,938,1,0,1,0,3,1,"TA",5,0,"Detchd",1977,"Unf",1,308,145,0,0,0,0,0,0,7,2008,130250
20,"RL",70,7945,"Reg","Inside","NAmes","1Story",5,6,1959,1959,"Gable","VinylSd","Wd Sdng","None",0,"TA","CBlock","TA","No","ALQ",179,506,465,1150,"Ex",1150,0,0,1150,1,0,1,0,3,1,"TA",6,0,"Attchd",1959,"RFn",1,300,0,0,0,0,0,0,0,5,2006,141000
120,"RL",61,7658,"Reg","Inside","NAmes","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",412,"TA","PConc","Ex","No","GLQ",456,0,1296,1752,"Ex",1752,0,0,1752,1,0,2,0,2,1,"TA",6,1,"Attchd",2005,"RFn",2,576,196,82,0,0,0,0,0,2,2010,319900
50,"RL",48,12822,"IR1","Inside","NAmes","1.5Fin",7,5,2003,2003,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Ex","No","GLQ",1351,0,83,1434,"Ex",1518,631,0,2149,1,0,1,1,1,1,"Gd",6,1,"Attchd",2003,"RFn",2,670,168,43,0,0,198,0,0,8,2009,239686
20,"RL",84,11096,"Reg","Inside","NAmes","1Story",8,5,2006,2006,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Gd","Av","GLQ",24,0,1632,1656,"Ex",1656,0,0,1656,0,0,2,0,3,1,"Gd",7,0,"Attchd",2006,"RFn",3,826,0,146,0,0,0,0,0,7,2007,249700
190,"RM",33,4456,"Reg","Inside","OldTown","2Story",4,5,1920,2008,"Gable","MetalSd","MetalSd","None",0,"TA","BrkTil","TA","No","Unf",0,0,736,736,"Gd",736,716,0,1452,0,0,2,0,2,3,"TA",8,0,"Attchd",0,"Unf",0,0,0,0,102,0,0,0,0,6,2009,113000
20,"RL",66,7742,"Reg","Inside","NAmes","1Story",5,7,1966,1966,"Gable","HdBoard","HdBoard","None",0,"TA","CBlock","TA","No","BLQ",763,0,192,955,"Ex",955,0,0,955,1,0,1,0,3,1,"TA",6,0,"Attchd",1966,"Unf",1,386,0,0,0,0,0,0,0,1,2007,127000
60,"RL",0,13869,"Reg","Corner","NAmes","2Story",6,6,1997,1997,"Gable","VinylSd","VinylSd","None",0,"TA","PConc","Gd","Av","GLQ",182,0,612,794,"Gd",794,676,0,1470,0,1,2,0,3,1,"TA",6,0,"Attchd",1997,"Fin",2,388,0,75,0,0,0,0,0,7,2007,177000
50,"RM",52,6240,"Reg","Inside","NAmes","1.5Fin",6,6,1934,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","PConc","TA","No","Unf",0,0,816,816,"TA",816,0,360,1176,0,0,1,0,3,1,"TA",6,1,"Detchd",1985,"Unf",2,528,112,0,0,0,0,0,400,9,2006,114500
90,"RM",110,8472,"Reg","Corner","NAmes","1Story",5,5,1963,1963,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","CBlock","Gd","Gd","Unf",104,712,0,816,"TA",816,0,0,816,1,0,1,0,2,1,"TA",5,0,"Attchd",1963,"Unf",2,516,106,0,0,0,0,0,0,5,2010,110000
20,"RL",68,50271,"IR1","Inside","NAmes","1Story",9,5,1981,1987,"Gable","VinylSd","VinylSd","None",0,"Gd","CBlock","Ex","Gd","GLQ",1810,0,32,1842,"Gd",1842,0,0,1842,2,0,0,1,0,1,"Gd",5,1,"Attchd",1981,"Fin",3,894,857,72,0,0,0,0,0,11,2006,385000
80,"RL",60,7134,"Reg","Inside","NAmes","1Story",5,5,1955,1955,"Gable","MetalSd","MetalSd","None",0,"TA","CBlock","TA","No","ALQ",384,0,0,384,"TA",1360,0,0,1360,0,0,1,0,3,1,"TA",6,1,"Detchd",1962,"Unf",2,572,0,50,0,0,0,0,0,2,2007,130000
20,"RL",100,10175,"IR1","Inside","NAmes","1Story",6,5,1964,1964,"Gable","HdBoard","Plywood","BrkFace",272,"TA","CBlock","TA","No","BLQ",490,0,935,1425,"Gd",1425,0,0,1425,0,0,2,0,3,1,"TA",7,1,"Attchd",1964,"RFn",2,576,0,0,0,407,0,0,0,7,2008,180500
160,"RL",24,2645,"Reg","Inside","NAmes","2Story",8,5,1999,2000,"Gable","MetalSd","MetalSd","BrkFace",456,"Gd","PConc","Gd","No","GLQ",649,0,321,970,"Ex",983,756,0,1739,1,0,2,1,3,1,"Gd",7,0,"Attchd",1999,"Fin",2,480,115,0,0,0,0,0,0,8,2009,172500
60,"RL",89,11645,"IR1","Corner","CollgCr","2Story",7,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Gd","No","Unf",0,0,860,860,"Ex",860,860,0,1720,0,0,2,1,3,1,"Gd",7,0,"Attchd",2004,"RFn",2,565,0,70,0,0,0,0,0,8,2006,196500
60,"RL",66,13682,"Reg","Inside","NAmes","2Story",10,5,2006,2006,"Hip","VinylSd","VinylSd","BrkFace",1031,"TA","PConc","Ex","Gd","Unf",0,0,1410,1410,"Ex",1426,1519,0,2945,0,0,3,1,3,1,"Gd",10,1,"Attchd",2006,"Fin",3,641,192,0,37,0,0,0,0,10,2006,438780
20,"RL",60,7200,"Reg","Inside","CollgCr","1Story",5,7,1972,1972,"Gable","HdBoard","HdBoard","None",0,"TA","CBlock","TA","Av","ALQ",632,0,148,780,"Ex",780,0,0,780,0,0,1,0,2,1,"TA",4,0,"Detchd",1973,"Unf",1,352,196,0,0,0,0,0,0,1,2008,124900
20,"RL",63,13072,"Reg","Inside","NAmes","1Story",6,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"TA","PConc","Gd","No","ALQ",941,0,217,1158,"Ex",1158,0,0,1158,1,0,1,1,3,1,"Gd",5,0,"Detchd",2006,"Unf",2,576,0,50,0,0,0,0,0,5,2006,158000
75,"RM",60,7200,"Reg","Inside","NAmes","1Story",5,7,1920,1996,"Gable","MetalSd","MetalSd","None",0,"TA","BrkTil","TA","No","Unf",0,0,530,530,"TA",581,530,0,1111,0,0,1,0,3,1,"TA",6,0,"Detchd",1935,"Unf",1,288,0,0,144,0,0,0,0,3,2007,101000
120,"RL",44,6442,"IR1","Inside","NAmes","1Story",8,5,2006,2006,"Gable","VinylSd","VinylSd","Stone",178,"Gd","PConc","Gd","Mn","GLQ",24,0,1346,1370,"Ex",1370,0,0,1370,0,0,2,0,2,1,"Gd",6,1,"Attchd",2006,"RFn",2,484,120,49,0,0,0,0,0,10,2007,202500
70,"RM",50,10300,"IR1","Inside","OldTown","2Story",7,6,1921,1950,"Gable","VinylSd","VinylSd","None",0,"TA","BrkTil","TA","No","Unf",0,0,576,576,"Gd",902,808,0,1710,0,0,2,0,3,1,"TA",9,0,"Detchd",1990,"Unf",2,480,12,11,64,0,0,0,0,4,2010,140000
60,"RL",0,9375,"Reg","Inside","CollgCr","2Story",7,5,1997,1998,"Gable","VinylSd","VinylSd","BrkFace",573,"TA","PConc","Gd","No","GLQ",739,0,318,1057,"Ex",1057,977,0,2034,1,0,2,1,3,1,"Gd",8,0,"Attchd",1998,"RFn",2,645,576,36,0,0,0,0,0,2,2009,219500
60,"RL",76,9591,"Reg","Inside","NAmes","2Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","BrkFace",344,"Gd","PConc","Ex","Av","Unf",0,0,1143,1143,"Ex",1143,1330,0,2473,0,0,2,1,4,1,"Gd",9,1,"Attchd",2004,"RFn",3,852,192,151,0,0,0,0,0,10,2007,317000
20,"RL",0,19900,"Reg","Inside","NAmes","1Story",7,5,1970,1989,"Gable","Plywood","Plywood","BrkFace",287,"TA","CBlock","Gd","Gd","GLQ",912,0,1035,1947,"TA",2207,0,0,2207,1,0,2,0,3,1,"TA",7,1,"Attchd",1970,"RFn",2,576,301,0,0,0,0,0,0,7,2010,180000
20,"RL",72,10665,"IR1","Inside","CollgCr","1Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",167,"Gd","PConc","Gd","Av","GLQ",1013,0,440,1453,"Ex",1479,0,0,1479,1,0,2,0,3,1,"Gd",7,0,"Attchd",2003,"RFn",2,558,144,29,0,0,0,0,0,6,2007,226000
30,"RM",47,4608,"Reg","Corner","OldTown","1Story",4,6,1945,1950,"Gable","MetalSd","MetalSd","None",0,"TA","CBlock","TA","No","Unf",0,0,747,747,"TA",747,0,0,747,0,0,1,0,2,1,"TA",4,0,"Attchd",1945,"Unf",1,220,0,0,0,0,0,0,0,6,2010,80000
50,"RL",81,15593,"Reg","Corner","NAmes","1.5Fin",7,4,1953,1953,"Gable","VinylSd","VinylSd","None",0,"Gd","CBlock","TA","No","BLQ",603,0,701,1304,"TA",1304,983,0,2287,0,0,2,0,3,1,"TA",7,1,"Attchd",1953,"Fin",2,667,0,21,114,0,0,0,0,7,2006,225000
20,"RL",95,13651,"IR1","Inside","NAmes","1Story",7,6,1973,1973,"Gable","Plywood","Plywood","BrkFace",1115,"TA","CBlock","Gd","Gd","ALQ",1880,0,343,2223,"Ex",2223,0,0,2223,1,0,2,0,3,1,"TA",8,2,"Attchd",1973,"Fin",2,516,300,0,0,0,0,0,0,2,2007,244000
20,"RL",69,7599,"Reg","Corner","NAmes","1Story",4,6,1982,2006,"Gable","HdBoard","Plywood","None",0,"TA","CBlock","TA","No","ALQ",565,0,280,845,"TA",845,0,0,845,1,0,1,0,2,1,"TA",4,0,"Detchd",1987,"Unf",2,360,0,0,0,0,0,0,0,6,2007,129500
60,"RL",74,10141,"IR1","Corner","NAmes","2Story",7,5,1998,1998,"Gable","VinylSd","VinylSd","BrkFace",40,"TA","PConc","Gd","No","Unf",0,0,832,832,"Gd",885,833,0,1718,0,0,2,1,3,1,"TA",7,1,"Attchd",1998,"Fin",2,427,0,94,0,0,291,0,0,12,2009,185000
20,"RL",85,10200,"Reg","Inside","NAmes","1Story",5,7,1954,2003,"Gable","Wd Sdng","Wd Sdng","BrkFace",104,"TA","CBlock","TA","No","ALQ",320,362,404,1086,"Gd",1086,0,0,1086,1,0,1,0,3,1,"TA",6,0,"Attchd",1989,"Unf",2,490,0,0,0,0,0,0,0,5,2010,144900
50,"RM",60,5790,"Reg","Corner","OldTown","2Story",3,6,1915,1950,"Gable","VinylSd","VinylSd","None",0,"Gd","CBlock","TA","No","Unf",0,0,840,840,"Gd",840,765,0,1605,0,0,2,0,3,2,"TA",8,0,"Detchd",1915,"Unf",1,379,0,0,202,0,0,0,0,5,2010,107400
180,"RM",21,1596,"Reg","Inside","NAmes","1Story",4,5,1973,1973,"Gable","VinylSd","VinylSd","None",0,"TA","CBlock","Gd","Gd","GLQ",462,0,0,462,"TA",526,462,0,988,1,0,1,0,2,1,"TA",5,0,"Attchd",1973,"Unf",1,297,120,101,0,0,0,0,0,11,2009,91000
20,"RL",0,8475,"IR1","Inside","NAmes","1Story",4,7,1956,1956,"Gable","VinylSd","VinylSd","None",0,"TA","CBlock","TA","No","ALQ",228,0,724,952,"Ex",952,0,0,952,0,0,1,0,2,1,"TA",4,0,"Detchd",1956,"Unf",1,283,0,0,0,0,0,0,0,4,2008,135750
50,"RM",50,8635,"Reg","Inside","NAmes","1.5Fin",5,5,1948,2001,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","CBlock","TA","No","BLQ",336,41,295,672,"TA",1072,213,0,1285,1,0,1,0,2,1,"TA",6,0,"Detchd",1948,"Unf",1,240,0,0,0,0,0,0,0,1,2008,127000
90,"RL",72,10778,"Reg","Inside","NAmes","1Story",4,5,1968,1968,"Hip","HdBoard","HdBoard","None",0,"TA","CBlock","TA","No","Unf",0,0,1768,1768,"TA",1768,0,0,1768,0,0,2,0,4,2,"TA",8,0,"Attchd",0,"Unf",0,0,0,0,0,0,0,0,0,4,2010,136500
